timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784784077260,612,HTTP Request-10,403,Forbidden,Non-GUI-Testcases Using CSV Files 1-4,text,false,,8203,162,10,10,https://mvnrepository.com/artifact/com.mysql/mysql-connector-j/9.7.0,611,0,333
1784784077601,353,HTTP Request-3,200,OK,Non-GUI-Testcases Using CSV Files 1-10,text,true,,48510,141,10,10,https://sauce-demo.myshopify.com/pages/about-us,277,0,0
1784784077843,268,HTTP Request-4,200,OK,Non-GUI-Testcases Using CSV Files 1-1,text,true,,24235,126,10,10,https://jpetstore.aspectran.com/,255,0,0
1784784076379,1800,HTTP Request-1,200,OK,Non-GUI-Testcases Using CSV Files 1-3,text,true,,5823,155,10,10,https://www.login.hiox.com/login?referrer=easycalculation.com,1800,0,1469
1784784077855,332,HTTP Request-2,200,OK,Non-GUI-Testcases Using CSV Files 1-2,text,true,,4946,120,10,10,https://www.demoblaze.com/,327,0,0
1784784077864,351,HTTP Request-2,200,OK,Non-GUI-Testcases Using CSV Files 1-5,text,true,,4939,120,10,10,https://www.demoblaze.com/,326,0,0
1784784077955,260,HTTP Request-4,200,OK,Non-GUI-Testcases Using CSV Files 1-10,text,true,,24235,126,10,10,https://jpetstore.aspectran.com/,231,0,0
1784784078111,150,HTTP Request-5,200,OK,Non-GUI-Testcases Using CSV Files 1-1,text,true,,10150,131,10,10,https://jsonplaceholder.typicode.com/,144,0,0
1784784078216,163,HTTP Request-5,200,OK,Non-GUI-Testcases Using CSV Files 1-10,text,true,,10150,131,10,10,https://jsonplaceholder.typicode.com/,161,0,0
1784784078189,287,HTTP Request-3,200,OK,Non-GUI-Testcases Using CSV Files 1-2,text,true,,48506,141,10,10,https://sauce-demo.myshopify.com/pages/about-us,201,0,0
